# EoSType = ColdBetaYe
# Nrho=4000
# RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
# RhoSpacing = Log
#  rho           eps             P              cs^2
   3.566478E-10  -9.247652E-03   8.941901E-14   3.411507E-04
   3.580882E-10  -9.246675E-03   8.990065E-14   3.415872E-04
   3.595344E-10  -9.245697E-03   9.038489E-14   3.420236E-04
   3.609864E-10  -9.244718E-03   9.087171E-14   3.424598E-04
   3.624443E-10  -9.243737E-03   9.136117E-14   3.428961E-04
   3.639081E-10  -9.242754E-03   9.185328E-14   3.433324E-04
   3.653778E-10  -9.241770E-03   9.234803E-14   3.437686E-04
   3.668535E-10  -9.240785E-03   9.284545E-14   3.442047E-04
   3.683351E-10  -9.239800E-03   9.334525E-14   3.446501E-04
   3.698227E-10  -9.238815E-03   9.384740E-14   3.451049E-04
   3.713163E-10  -9.237829E-03   9.435228E-14   3.455598E-04
   3.728159E-10  -9.236842E-03   9.485987E-14   3.460146E-04
   3.743216E-10  -9.235852E-03   9.537017E-14   3.464692E-04
   3.758333E-10  -9.234862E-03   9.588324E-14   3.469239E-04
   3.773512E-10  -9.233870E-03   9.639907E-14   3.473785E-04
   3.788752E-10  -9.232877E-03   9.691768E-14   3.478330E-04
   3.804053E-10  -9.231882E-03   9.743908E-14   3.482875E-04
   3.819417E-10  -9.230885E-03   9.796325E-14   3.487418E-04
   3.834842E-10  -9.229887E-03   9.849028E-14   3.491961E-04
   3.850329E-10  -9.228888E-03   9.902014E-14   3.496504E-04
   3.865880E-10  -9.227887E-03   9.955285E-14   3.501047E-04
   3.881493E-10  -9.226885E-03   1.000884E-13   3.505587E-04
   3.897169E-10  -9.225882E-03   1.006268E-13   3.510128E-04
   3.912908E-10  -9.224876E-03   1.011682E-13   3.514668E-04
   3.928711E-10  -9.223870E-03   1.017125E-13   3.519208E-04
   3.944578E-10  -9.222862E-03   1.022597E-13   3.523747E-04
   3.960509E-10  -9.221852E-03   1.028098E-13   3.528286E-04
   3.976504E-10  -9.220841E-03   1.033629E-13   3.532824E-04
   3.992564E-10  -9.219828E-03   1.039190E-13   3.537361E-04
   4.008688E-10  -9.218814E-03   1.044780E-13   3.541896E-04
   4.024878E-10  -9.217799E-03   1.050401E-13   3.546432E-04
   4.041133E-10  -9.216782E-03   1.056052E-13   3.550968E-04
   4.057454E-10  -9.215763E-03   1.061733E-13   3.555502E-04
   4.073841E-10  -9.214743E-03   1.067445E-13   3.560037E-04
   4.090293E-10  -9.213722E-03   1.073188E-13   3.564570E-04
   4.106813E-10  -9.212699E-03   1.078961E-13   3.569103E-04
   4.123399E-10  -9.211674E-03   1.084766E-13   3.573635E-04
   4.140052E-10  -9.210649E-03   1.090602E-13   3.578167E-04
   4.156772E-10  -9.209621E-03   1.096469E-13   3.582696E-04
   4.173560E-10  -9.208592E-03   1.102368E-13   3.587227E-04
   4.190415E-10  -9.207564E-03   1.108294E-13   3.591879E-04
   4.207339E-10  -9.206536E-03   1.114249E-13   3.596604E-04
   4.224331E-10  -9.205506E-03   1.120236E-13   3.601328E-04
   4.241392E-10  -9.204475E-03   1.126256E-13   3.606052E-04
   4.258521E-10  -9.203442E-03   1.132307E-13   3.610776E-04
   4.275720E-10  -9.202408E-03   1.138391E-13   3.615498E-04
   4.292988E-10  -9.201372E-03   1.144508E-13   3.620220E-04
   4.310326E-10  -9.200335E-03   1.150658E-13   3.624940E-04
   4.327734E-10  -9.199297E-03   1.156841E-13   3.629661E-04
   4.345213E-10  -9.198256E-03   1.163057E-13   3.634382E-04
   4.362761E-10  -9.197215E-03   1.169306E-13   3.639100E-04
   4.380381E-10  -9.196171E-03   1.175589E-13   3.643819E-04
   4.398072E-10  -9.195127E-03   1.181906E-13   3.648537E-04
   4.415834E-10  -9.194080E-03   1.188257E-13   3.653253E-04
   4.433668E-10  -9.193032E-03   1.194642E-13   3.657970E-04
   4.451575E-10  -9.191983E-03   1.201061E-13   3.662686E-04
   4.469553E-10  -9.190932E-03   1.207514E-13   3.667400E-04
   4.487604E-10  -9.189880E-03   1.214003E-13   3.672115E-04
   4.505728E-10  -9.188826E-03   1.220526E-13   3.676829E-04
   4.523925E-10  -9.187770E-03   1.227084E-13   3.681541E-04
   4.542196E-10  -9.186713E-03   1.233678E-13   3.686254E-04
   4.560540E-10  -9.185655E-03   1.240307E-13   3.690966E-04
   4.578959E-10  -9.184595E-03   1.246971E-13   3.695677E-04
   4.597451E-10  -9.183533E-03   1.253672E-13   3.700388E-04
   4.616019E-10  -9.182470E-03   1.260408E-13   3.705097E-04
   4.634662E-10  -9.181405E-03   1.267181E-13   3.709806E-04
   4.653379E-10  -9.180339E-03   1.273990E-13   3.714515E-04
   4.672173E-10  -9.179271E-03   1.280835E-13   3.719221E-04
   4.691042E-10  -9.178202E-03   1.287718E-13   3.723929E-04
   4.709988E-10  -9.177131E-03   1.294637E-13   3.728635E-04
   4.729010E-10  -9.176059E-03   1.301594E-13   3.733341E-04
   4.748109E-10  -9.174985E-03   1.308588E-13   3.738046E-04
   4.767285E-10  -9.173912E-03   1.315613E-13   3.742902E-04
   4.786538E-10  -9.172839E-03   1.322673E-13   3.747809E-04
   4.805869E-10  -9.171765E-03   1.329772E-13   3.752715E-04
   4.825279E-10  -9.170689E-03   1.336908E-13   3.757621E-04
   4.844766E-10  -9.169611E-03   1.344083E-13   3.762526E-04
   4.864333E-10  -9.168532E-03   1.351296E-13   3.767430E-04
   4.883978E-10  -9.167451E-03   1.358549E-13   3.772335E-04
   4.903703E-10  -9.166369E-03   1.365840E-13   3.777237E-04
   4.923507E-10  -9.165285E-03   1.373170E-13   3.782139E-04
   4.943392E-10  -9.164199E-03   1.380540E-13   3.787040E-04
   4.963356E-10  -9.163112E-03   1.387949E-13   3.791940E-04
   4.983402E-10  -9.162024E-03   1.395397E-13   3.796840E-04
   5.003528E-10  -9.160934E-03   1.402886E-13   3.801739E-04
   5.023736E-10  -9.159842E-03   1.410416E-13   3.806638E-04
   5.044025E-10  -9.158749E-03   1.417985E-13   3.811536E-04
   5.064396E-10  -9.157654E-03   1.425595E-13   3.816432E-04
   5.084849E-10  -9.156557E-03   1.433246E-13   3.821328E-04
   5.105385E-10  -9.155459E-03   1.440938E-13   3.826225E-04
   5.126004E-10  -9.154360E-03   1.448671E-13   3.831119E-04
   5.146707E-10  -9.153243E-03   1.456444E-13   3.836012E-04
   5.167492E-10  -9.152102E-03   1.464257E-13   3.840904E-04
   5.188362E-10  -9.150960E-03   1.472111E-13   3.845796E-04
   5.209316E-10  -9.149816E-03   1.480008E-13   3.850687E-04
   5.230355E-10  -9.148671E-03   1.487947E-13   3.855577E-04
   5.251478E-10  -9.147524E-03   1.495928E-13   3.860465E-04
   5.272687E-10  -9.146376E-03   1.503953E-13   3.865354E-04
   5.293982E-10  -9.145226E-03   1.512021E-13   3.870243E-04
   5.315363E-10  -9.144074E-03   1.520131E-13   3.875129E-04
   5.336830E-10  -9.142920E-03   1.528286E-13   3.880016E-04
   5.358383E-10  -9.141765E-03   1.536483E-13   3.884901E-04
   5.380024E-10  -9.140609E-03   1.544725E-13   3.889786E-04
   5.401752E-10  -9.139451E-03   1.553011E-13   3.894669E-04
   5.423568E-10  -9.138293E-03   1.561333E-13   3.899738E-04
   5.445472E-10  -9.137135E-03   1.569698E-13   3.904831E-04
   5.467464E-10  -9.135975E-03   1.578108E-13   3.909925E-04
   5.489546E-10  -9.134813E-03   1.586562E-13   3.915016E-04
   5.511716E-10  -9.133649E-03   1.595062E-13   3.920107E-04
   5.533976E-10  -9.132484E-03   1.603608E-13   3.925199E-04
   5.556326E-10  -9.131318E-03   1.612199E-13   3.930288E-04
   5.578766E-10  -9.130149E-03   1.620836E-13   3.935378E-04
   5.601297E-10  -9.128979E-03   1.629520E-13   3.940465E-04
   5.623919E-10  -9.127808E-03   1.638250E-13   3.945554E-04
   5.646632E-10  -9.126635E-03   1.647027E-13   3.950640E-04
   5.669437E-10  -9.125460E-03   1.655851E-13   3.955726E-04
   5.692334E-10  -9.124284E-03   1.664722E-13   3.960811E-04
   5.715323E-10  -9.123106E-03   1.673641E-13   3.965895E-04
   5.738405E-10  -9.121926E-03   1.682607E-13   3.970978E-04
   5.761581E-10  -9.120745E-03   1.691622E-13   3.976061E-04
   5.784850E-10  -9.119562E-03   1.700685E-13   3.981143E-04
   5.808213E-10  -9.118377E-03   1.709797E-13   3.986224E-04
   5.831670E-10  -9.117191E-03   1.718957E-13   3.991304E-04
   5.855223E-10  -9.116003E-03   1.728166E-13   3.996384E-04
   5.878870E-10  -9.114814E-03   1.737425E-13   4.001462E-04
   5.902613E-10  -9.113622E-03   1.746733E-13   4.006540E-04
   5.926451E-10  -9.112430E-03   1.756092E-13   4.011618E-04
   5.950386E-10  -9.111235E-03   1.765500E-13   4.016693E-04
   5.974418E-10  -9.110039E-03   1.774959E-13   4.021769E-04
   5.998547E-10  -9.108842E-03   1.784468E-13   4.026843E-04
   6.022773E-10  -9.107642E-03   1.794029E-13   4.031917E-04
   6.047097E-10  -9.106441E-03   1.803641E-13   4.036990E-04
   6.071519E-10  -9.105239E-03   1.813304E-13   4.042062E-04
   6.096040E-10  -9.104034E-03   1.823019E-13   4.047134E-04
   6.120660E-10  -9.102828E-03   1.832785E-13   4.052203E-04
   6.145379E-10  -9.101621E-03   1.842605E-13   4.057274E-04
   6.170198E-10  -9.100414E-03   1.852464E-13   4.062561E-04
   6.195117E-10  -9.099206E-03   1.862377E-13   4.067849E-04
   6.220137E-10  -9.097997E-03   1.872342E-13   4.073135E-04
   6.245258E-10  -9.096785E-03   1.882361E-13   4.078422E-04
   6.270481E-10  -9.095572E-03   1.892434E-13   4.083706E-04
   6.295805E-10  -9.094358E-03   1.902560E-13   4.088990E-04
   6.321232E-10  -9.093141E-03   1.912740E-13   4.094273E-04
   6.346761E-10  -9.091923E-03   1.922975E-13   4.099555E-04
   6.372394E-10  -9.090704E-03   1.933265E-13   4.104836E-04
   6.398130E-10  -9.089483E-03   1.943610E-13   4.110118E-04
   6.423970E-10  -9.088260E-03   1.954010E-13   4.115397E-04
   6.449914E-10  -9.087035E-03   1.964466E-13   4.120675E-04
   6.475963E-10  -9.085808E-03   1.974977E-13   4.125953E-04
   6.502117E-10  -9.084580E-03   1.985545E-13   4.131230E-04
   6.528377E-10  -9.083351E-03   1.996170E-13   4.136505E-04
   6.554743E-10  -9.082119E-03   2.006852E-13   4.141782E-04
   6.581215E-10  -9.080886E-03   2.017590E-13   4.147056E-04
   6.607795E-10  -9.079652E-03   2.028386E-13   4.152329E-04
   6.634481E-10  -9.078415E-03   2.039240E-13   4.157602E-04
   6.661276E-10  -9.077177E-03   2.050152E-13   4.162874E-04
   6.688178E-10  -9.075937E-03   2.061122E-13   4.168144E-04
   6.715190E-10  -9.074696E-03   2.072151E-13   4.173414E-04
   6.742310E-10  -9.073453E-03   2.083240E-13   4.178684E-04
   6.769540E-10  -9.072208E-03   2.094387E-13   4.183951E-04
   6.796880E-10  -9.070961E-03   2.105594E-13   4.189218E-04
   6.824330E-10  -9.069713E-03   2.116862E-13   4.194486E-04
   6.851891E-10  -9.068463E-03   2.128189E-13   4.199751E-04
   6.879564E-10  -9.067211E-03   2.139576E-13   4.205015E-04
   6.907348E-10  -9.065958E-03   2.151026E-13   4.210280E-04
   6.935245E-10  -9.064702E-03   2.162536E-13   4.215542E-04
   6.963254E-10  -9.063446E-03   2.174108E-13   4.220805E-04
   6.991376E-10  -9.062188E-03   2.185740E-13   4.226094E-04
   7.019612E-10  -9.060930E-03   2.197421E-13   4.231582E-04
   7.047962E-10  -9.059672E-03   2.209165E-13   4.237070E-04
   7.076426E-10  -9.058411E-03   2.220971E-13   4.242555E-04
   7.105005E-10  -9.057149E-03   2.232841E-13   4.248039E-04
   7.133700E-10  -9.055885E-03   2.244774E-13   4.253524E-04
   7.162511E-10  -9.054619E-03   2.256771E-13   4.259007E-04
   7.191438E-10  -9.053352E-03   2.268832E-13   4.264490E-04
   7.220482E-10  -9.052083E-03   2.280957E-13   4.269970E-04
   7.249643E-10  -9.050812E-03   2.293148E-13   4.275451E-04
   7.278922E-10  -9.049539E-03   2.305403E-13   4.280930E-04
   7.308319E-10  -9.048265E-03   2.317724E-13   4.286409E-04
   7.337835E-10  -9.046989E-03   2.330111E-13   4.291886E-04
   7.367470E-10  -9.045711E-03   2.342564E-13   4.297363E-04
   7.397224E-10  -9.044432E-03   2.355084E-13   4.302839E-04
   7.427099E-10  -9.043151E-03   2.367670E-13   4.308313E-04
   7.457095E-10  -9.041868E-03   2.380325E-13   4.313787E-04
   7.487211E-10  -9.040583E-03   2.393046E-13   4.319259E-04
   7.517450E-10  -9.039297E-03   2.405835E-13   4.324732E-04
   7.547810E-10  -9.038009E-03   2.418693E-13   4.330201E-04
   7.578293E-10  -9.036719E-03   2.431620E-13   4.335672E-04
   7.608900E-10  -9.035427E-03   2.444616E-13   4.341141E-04
   7.639629E-10  -9.034134E-03   2.457680E-13   4.346608E-04
   7.670483E-10  -9.032839E-03   2.470815E-13   4.352076E-04
   7.701462E-10  -9.031542E-03   2.484021E-13   4.357543E-04
   7.732565E-10  -9.030243E-03   2.497296E-13   4.363007E-04
   7.763795E-10  -9.028943E-03   2.510643E-13   4.368471E-04
   7.795150E-10  -9.027641E-03   2.524062E-13   4.373935E-04
